Row,Estimate,SE,tStat,pValue
x1,0.253869637021066,0.000132872805110363,1910.62149105834,0
x2,-0.13428378908623,0.000185126530860462,-725.362207470117,0
x3,-0.674051259982593,0.00014188555931321,-4750.66851937085,0
x4,1.04749097709799,0.00031761689916954,3297.96991229629,0
x5,0.423689531008286,3.18118425783216e-05,13318.6101988639,0
x1:x2,2.15462156270924e-07,1.95382872458545e-08,11.0276890476487,2.94496129967916e-28
x1:x3,0,0,NaN,NaN
x1:x4,0,0,NaN,NaN
x1:x5,0,0,NaN,NaN
x2:x3,0,0,NaN,NaN
x2:x4,-7.80636391120409e-07,8.34918795991399e-08,-9.34984809143583,8.99429596598401e-21
x2:x5,0,0,NaN,NaN
x3:x4,7.09941546978667e-08,1.90055813448579e-08,3.73543715446909,0.000187519428410792
x3:x5,0,0,NaN,NaN
x4:x5,0,0,NaN,NaN
x1^2,-2.11439034723013e-07,3.95159502653901e-09,-53.5072630932531,0
x2^2,1.08264325518771e-07,7.08719523693897e-09,15.2760467151362,1.31081057191239e-52
x3^2,2.053147075682e-07,3.96940307383332e-09,51.7243282552115,0
x4^2,-1.31129458831681e-06,6.62088944042161e-08,-19.805414364891,4.32851361756144e-87
x5^2,-2.84639911155625e-20,3.25889497506876e-11,-8.73424621944495e-10,0.99999999930311
